SKU,PROVEEDOR,DEPARTAMENTO,LINEA,SUBLINEA,TEMPORADA,AÑO_PRIMERA_VENTA,MARCA,ESTILO_VIDA,ESTATUS_NUESTRO,ORIGEN,RUTINA_ESPECIAL,RESURTIDO_one_SHOT
T23C2139GD,ADITIVO,CHAVOS,PLAYERA,MANGA LARGA,TODO EL AÑO,2021,ADITIVO,CASUAL,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T23C2139MD,ADITIVO,CHAVOS,PLAYERA,MANGA LARGA,TODO EL AÑO,2021,ADITIVO,CASUAL,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T6C01007CH,ADITIVO,CHAVOS,PLAYERA,MANGA CORTA,TODO EL AÑO,2013,ADITIVO,COOL,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T6C01007MD,ADITIVO,CHAVOS,PLAYERA,MANGA CORTA,TODO EL AÑO,2013,ADITIVO,COOL,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T23C2139EG,ADITIVO,CHAVOS,PLAYERA,MANGA LARGA,TODO EL AÑO,2021,ADITIVO,CASUAL,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T23C2139CH,ADITIVO,CHAVOS,PLAYERA,MANGA LARGA,TODO EL AÑO,2021,ADITIVO,CASUAL,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T6C01007GD,ADITIVO,CHAVOS,PLAYERA,MANGA CORTA,TODO EL AÑO,2013,ADITIVO,COOL,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T6C01007EG,ADITIVO,CHAVOS,PLAYERA,MANGA CORTA,TODO EL AÑO,2013,ADITIVO,COOL,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T29C1874MD,ADITIVO,CHAVOS,PLAYERA,MANGA CORTA,TODO EL AÑO,2023,ADITIVO,CASUAL,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T29C1874GD,ADITIVO,CHAVOS,PLAYERA,MANGA CORTA,TODO EL AÑO,2023,ADITIVO,CASUAL,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T29C1874EG,ADITIVO,CHAVOS,PLAYERA,MANGA CORTA,TODO EL AÑO,2023,ADITIVO,CASUAL,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T29C1874CH,ADITIVO,CHAVOS,PLAYERA,MANGA CORTA,TODO EL AÑO,2023,ADITIVO,CASUAL,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T30C1936MD,ADITIVO,CHAVOS,PLAYERA,SIN MANGA,TODO EL AÑO,2023,ADITIVO,CREATIVO,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T30C1936GD,ADITIVO,CHAVOS,PLAYERA,SIN MANGA,TODO EL AÑO,2023,ADITIVO,CREATIVO,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T30C1936CH,ADITIVO,CHAVOS,PLAYERA,SIN MANGA,TODO EL AÑO,2023,ADITIVO,CREATIVO,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T30C2308GD,ADITIVO,CHAVOS,PLAYERA,MANGA LARGA,TODO EL AÑO,2023,ADITIVO,TRADICIONAL,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T30C2308MD,ADITIVO,CHAVOS,PLAYERA,MANGA LARGA,TODO EL AÑO,2023,ADITIVO,TRADICIONAL,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T30C2308CH,ADITIVO,CHAVOS,PLAYERA,MANGA LARGA,TODO EL AÑO,2023,ADITIVO,TRADICIONAL,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T23P5C01MD,ADITIVO,CHAVOS,PLAYERA,MANGA LARGA,TODO EL AÑO,2023,ADITIVO,URBANO,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T23P5C01EG,ADITIVO,CHAVOS,PLAYERA,MANGA LARGA,TODO EL AÑO,2023,ADITIVO,URBANO,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T23P5C01CH,ADITIVO,CHAVOS,PLAYERA,MANGA LARGA,TODO EL AÑO,2023,ADITIVO,URBANO,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
TBAD3009MD,ADITIVO,CHAVAS,PLAYERA,MANGA CORTA,TODO EL AÑO,2023,ADITIVO,BÁSICOS,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
TBAD3009GD,ADITIVO,CHAVAS,PLAYERA,MANGA CORTA,TODO EL AÑO,2023,ADITIVO,BÁSICOS,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
TBAD3009CH,ADITIVO,CHAVAS,PLAYERA,MANGA CORTA,TODO EL AÑO,2023,ADITIVO,BÁSICOS,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
TBAD3009EG,ADITIVO,CHAVAS,PLAYERA,MANGA CORTA,TODO EL AÑO,2023,ADITIVO,BÁSICOS,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
TBAD3008MD,ADITIVO,CHAVAS,PLAYERA,MANGA CORTA,TODO EL AÑO,2023,ADITIVO,BÁSICOS,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T23R1C10CH,ADITIVO,CHAVOS,PLAYERA,MANGA CORTA,TODO EL AÑO,2023,ADITIVO,ANIME,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
T23R1C10MD,ADITIVO,CHAVOS,PLAYERA,MANGA CORTA,TODO EL AÑO,2023,ADITIVO,ANIME,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
TBAD3008EG,ADITIVO,CHAVAS,PLAYERA,MANGA CORTA,TODO EL AÑO,2023,ADITIVO,BÁSICOS,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
TBAD3008GD,ADITIVO,CHAVAS,PLAYERA,MANGA CORTA,TODO EL AÑO,2023,ADITIVO,BÁSICOS,LINEA,PROVEEDOR PROPIO (ADITIVO),SIN RUTINA_ESPECIAL,RESURTIBLE
TA4D3027MD,ADITIVO,CHAVAS,PLAYERA,MANGA CORTA,TODO EL AÑO,2024,ADITIVO,SIN ESTILO_VIDA,LINEA,PROVEEDOR PROPIO (ADITIVO),SC,RESURTIBLE
TA4D3027EG,ADITIVO,CHAVAS,PLAYERA,MANGA CORTA,TODO EL AÑO,2024,ADITIVO,SIN ESTILO_VIDA,LINEA,PROVEEDOR PROPIO (ADITIVO),SC,RESURTIBLE
